p,n1,n2,innovation,covariance family,rho,method,R,empirical size,MCSE
100,120,150,chisq1,equicorrelation,0.1,Li-Chen,1000,0.101,0.009528850927577786
100,120,150,chisq1,equicorrelation,0.1,Max-bootstrap,1000,0.014,0.003715373467095872
100,120,150,chisq1,equicorrelation,0.1,Ours-C(0.3),1000,0.064,0.007739767438366608
100,120,150,chisq1,equicorrelation,0.1,Ours-C(0.5),1000,0.057,0.007331507348424334
100,120,150,chisq1,equicorrelation,0.1,Ours-C(0.7),1000,0.064,0.007739767438366608
100,120,150,chisq1,equicorrelation,0.1,Ours-I,1000,0.016,0.003967870965643918
100,120,150,chisq1,equicorrelation,0.1,Wang-NR,1000,0.011,0.003298332912245215
100,120,150,chisq1,equicorrelation,0.5,Li-Chen,1000,0.199,0.012625331678811452
100,120,150,chisq1,equicorrelation,0.5,Max-bootstrap,1000,0.029,0.005306505441436953
100,120,150,chisq1,equicorrelation,0.5,Ours-C(0.3),1000,0.04,0.0061967733539318665
100,120,150,chisq1,equicorrelation,0.5,Ours-C(0.5),1000,0.04,0.0061967733539318665
100,120,150,chisq1,equicorrelation,0.5,Ours-C(0.7),1000,0.039,0.006122009474020765
100,120,150,chisq1,equicorrelation,0.5,Ours-I,1000,0.04,0.0061967733539318665
100,120,150,chisq1,equicorrelation,0.5,Wang-NR,1000,0.038,0.006046155803483731
100,120,150,chisq1,equicorrelation,0.9,Li-Chen,1000,0.267,0.013989674763910703
100,120,150,chisq1,equicorrelation,0.9,Max-bootstrap,1000,0.034,0.005730968504537431
100,120,150,chisq1,equicorrelation,0.9,Ours-C(0.3),1000,0.05,0.006892024376045111
100,120,150,chisq1,equicorrelation,0.9,Ours-C(0.5),1000,0.044,0.006485676526007136
100,120,150,chisq1,equicorrelation,0.9,Ours-C(0.7),1000,0.048,0.006759881655768835
100,120,150,chisq1,equicorrelation,0.9,Ours-I,1000,0.04,0.0061967733539318665
100,120,150,chisq1,equicorrelation,0.9,Wang-NR,1000,0.04,0.0061967733539318665
100,80,100,chisq1,equicorrelation,0.1,Li-Chen,1000,0.099,0.009444522221901964
100,80,100,chisq1,equicorrelation,0.1,Max-bootstrap,1000,0.011,0.003298332912245215
100,80,100,chisq1,equicorrelation,0.1,Ours-C(0.3),1000,0.058,0.007391616873188166
100,80,100,chisq1,equicorrelation,0.1,Ours-C(0.5),1000,0.058,0.007391616873188166
100,80,100,chisq1,equicorrelation,0.1,Ours-C(0.7),1000,0.062,0.007626008130076967
100,80,100,chisq1,equicorrelation,0.1,Ours-I,1000,0.01,0.003146426544510455
100,80,100,chisq1,equicorrelation,0.1,Wang-NR,1000,0.004,0.001995995991979944
100,80,100,chisq1,equicorrelation,0.5,Li-Chen,1000,0.206,0.0127892142057282
100,80,100,chisq1,equicorrelation,0.5,Max-bootstrap,1000,0.024,0.004839834707921336
100,80,100,chisq1,equicorrelation,0.5,Ours-C(0.3),1000,0.049,0.006826346021115542
100,80,100,chisq1,equicorrelation,0.5,Ours-C(0.5),1000,0.045,0.0065555320150236475
100,80,100,chisq1,equicorrelation,0.5,Ours-C(0.7),1000,0.054,0.007147307185227175
100,80,100,chisq1,equicorrelation,0.5,Ours-I,1000,0.048,0.006759881655768835
100,80,100,chisq1,equicorrelation,0.5,Wang-NR,1000,0.037,0.005969170796685248
100,80,100,chisq1,equicorrelation,0.9,Li-Chen,1000,0.269,0.014022802858202064
100,80,100,chisq1,equicorrelation,0.9,Max-bootstrap,1000,0.052,0.007021111023192838
100,80,100,chisq1,equicorrelation,0.9,Ours-C(0.3),1000,0.059,0.007451107300260815
100,80,100,chisq1,equicorrelation,0.9,Ours-C(0.5),1000,0.062,0.007626008130076967
100,80,100,chisq1,equicorrelation,0.9,Ours-C(0.7),1000,0.061,0.0075682891065286355
100,80,100,chisq1,equicorrelation,0.9,Ours-I,1000,0.061,0.0075682891065286355
100,80,100,chisq1,equicorrelation,0.9,Wang-NR,1000,0.058,0.007391616873188166
200,120,150,chisq1,equicorrelation,0.1,Li-Chen,1000,0.097,0.00935900635751467
200,120,150,chisq1,equicorrelation,0.1,Max-bootstrap,1000,0.009,0.002986469487538756
200,120,150,chisq1,equicorrelation,0.1,Ours-C(0.3),1000,0.049,0.006826346021115542
200,120,150,chisq1,equicorrelation,0.1,Ours-C(0.5),1000,0.053,0.00708456067798138
200,120,150,chisq1,equicorrelation,0.1,Ours-C(0.7),1000,0.046,0.006624499981130651
200,120,150,chisq1,equicorrelation,0.1,Ours-I,1000,0.013,0.003582038525755969
200,120,150,chisq1,equicorrelation,0.1,Wang-NR,1000,0.01,0.003146426544510455
200,120,150,chisq1,equicorrelation,0.5,Li-Chen,1000,0.185,0.012279047194306243
200,120,150,chisq1,equicorrelation,0.5,Max-bootstrap,1000,0.031,0.0054807846153630225
200,120,150,chisq1,equicorrelation,0.5,Ours-C(0.3),1000,0.054,0.007147307185227175
200,120,150,chisq1,equicorrelation,0.5,Ours-C(0.5),1000,0.052,0.007021111023192838
200,120,150,chisq1,equicorrelation,0.5,Ours-C(0.7),1000,0.049,0.006826346021115542
200,120,150,chisq1,equicorrelation,0.5,Ours-I,1000,0.046,0.006624499981130651
200,120,150,chisq1,equicorrelation,0.5,Wang-NR,1000,0.047,0.006692607862410586
200,120,150,chisq1,equicorrelation,0.9,Li-Chen,1000,0.255,0.013783141876945184
200,120,150,chisq1,equicorrelation,0.9,Max-bootstrap,1000,0.036,0.005891010100144117
200,120,150,chisq1,equicorrelation,0.9,Ours-C(0.3),1000,0.043,0.006414904519944158
200,120,150,chisq1,equicorrelation,0.9,Ours-C(0.5),1000,0.047,0.006692607862410586
200,120,150,chisq1,equicorrelation,0.9,Ours-C(0.7),1000,0.05,0.006892024376045111
200,120,150,chisq1,equicorrelation,0.9,Ours-I,1000,0.044,0.006485676526007136
200,120,150,chisq1,equicorrelation,0.9,Wang-NR,1000,0.042,0.0063431853196954605
200,80,100,chisq1,equicorrelation,0.1,Li-Chen,1000,0.101,0.009528850927577786
200,80,100,chisq1,equicorrelation,0.1,Max-bootstrap,1000,0.005,0.0022304708023195463
200,80,100,chisq1,equicorrelation,0.1,Ours-C(0.3),1000,0.05,0.006892024376045111
200,80,100,chisq1,equicorrelation,0.1,Ours-C(0.5),1000,0.053,0.00708456067798138
200,80,100,chisq1,equicorrelation,0.1,Ours-C(0.7),1000,0.048,0.006759881655768835
200,80,100,chisq1,equicorrelation,0.1,Ours-I,1000,0.006,0.002442130217658346
200,80,100,chisq1,equicorrelation,0.1,Wang-NR,1000,0.006,0.002442130217658346
200,80,100,chisq1,equicorrelation,0.5,Li-Chen,1000,0.216,0.013013224043256921
200,80,100,chisq1,equicorrelation,0.5,Max-bootstrap,1000,0.06,0.007509993342207435
200,80,100,chisq1,equicorrelation,0.5,Ours-C(0.3),1000,0.069,0.008014923580421713
200,80,100,chisq1,equicorrelation,0.5,Ours-C(0.5),1000,0.064,0.007739767438366608
200,80,100,chisq1,equicorrelation,0.5,Ours-C(0.7),1000,0.061,0.0075682891065286355
200,80,100,chisq1,equicorrelation,0.5,Ours-I,1000,0.073,0.008226238508577295
200,80,100,chisq1,equicorrelation,0.5,Wang-NR,1000,0.061,0.0075682891065286355
200,80,100,chisq1,equicorrelation,0.9,Li-Chen,1000,0.256,0.013800869537822608
200,80,100,chisq1,equicorrelation,0.9,Max-bootstrap,1000,0.043,0.006414904519944158
200,80,100,chisq1,equicorrelation,0.9,Ours-C(0.3),1000,0.052,0.007021111023192838
200,80,100,chisq1,equicorrelation,0.9,Ours-C(0.5),1000,0.053,0.00708456067798138
200,80,100,chisq1,equicorrelation,0.9,Ours-C(0.7),1000,0.057,0.007331507348424334
200,80,100,chisq1,equicorrelation,0.9,Ours-I,1000,0.053,0.00708456067798138
200,80,100,chisq1,equicorrelation,0.9,Wang-NR,1000,0.045,0.0065555320150236475
100,120,150,chisq1,toeplitz,0.1,Li-Chen,1000,0.128,0.010564847372300274
100,120,150,chisq1,toeplitz,0.1,Max-bootstrap,1000,0.005,0.0022304708023195463
100,120,150,chisq1,toeplitz,0.1,Ours-C(0.3),1000,0.056,0.007270763371201128
100,120,150,chisq1,toeplitz,0.1,Ours-C(0.5),1000,0.053,0.00708456067798138
100,120,150,chisq1,toeplitz,0.1,Ours-C(0.7),1000,0.053,0.00708456067798138
100,120,150,chisq1,toeplitz,0.1,Ours-I,1000,0.0,0.0
100,120,150,chisq1,toeplitz,0.1,Wang-NR,1000,0.0,0.0
100,120,150,chisq1,toeplitz,0.5,Li-Chen,1000,0.111,0.00993373041711924
100,120,150,chisq1,toeplitz,0.5,Max-bootstrap,1000,0.017,0.004087909000944126
100,120,150,chisq1,toeplitz,0.5,Ours-C(0.3),1000,0.044,0.006485676526007136
100,120,150,chisq1,toeplitz,0.5,Ours-C(0.5),1000,0.049,0.006826346021115542
100,120,150,chisq1,toeplitz,0.5,Ours-C(0.7),1000,0.046,0.006624499981130651
100,120,150,chisq1,toeplitz,0.5,Ours-I,1000,0.0,0.0
100,120,150,chisq1,toeplitz,0.5,Wang-NR,1000,0.001,0.0009994998749374609
100,120,150,chisq1,toeplitz,0.9,Li-Chen,1000,0.101,0.009528850927577786
100,120,150,chisq1,toeplitz,0.9,Max-bootstrap,1000,0.052,0.007021111023192838
100,120,150,chisq1,toeplitz,0.9,Ours-C(0.3),1000,0.052,0.007021111023192838
100,120,150,chisq1,toeplitz,0.9,Ours-C(0.5),1000,0.058,0.007391616873188166
100,120,150,chisq1,toeplitz,0.9,Ours-C(0.7),1000,0.056,0.007270763371201128
100,120,150,chisq1,toeplitz,0.9,Ours-I,1000,0.031,0.0054807846153630225
100,120,150,chisq1,toeplitz,0.9,Wang-NR,1000,0.024,0.004839834707921336
100,80,100,chisq1,toeplitz,0.1,Li-Chen,1000,0.098,0.009401914698613257
100,80,100,chisq1,toeplitz,0.1,Max-bootstrap,1000,0.001,0.0009994998749374609
100,80,100,chisq1,toeplitz,0.1,Ours-C(0.3),1000,0.06,0.007509993342207435
100,80,100,chisq1,toeplitz,0.1,Ours-C(0.5),1000,0.061,0.0075682891065286355
100,80,100,chisq1,toeplitz,0.1,Ours-C(0.7),1000,0.063,0.007683163410991596
100,80,100,chisq1,toeplitz,0.1,Ours-I,1000,0.0,0.0
100,80,100,chisq1,toeplitz,0.1,Wang-NR,1000,0.0,0.0
100,80,100,chisq1,toeplitz,0.5,Li-Chen,1000,0.078,0.008480330182251162
100,80,100,chisq1,toeplitz,0.5,Max-bootstrap,1000,0.011,0.003298332912245215
100,80,100,chisq1,toeplitz,0.5,Ours-C(0.3),1000,0.053,0.00708456067798138
100,80,100,chisq1,toeplitz,0.5,Ours-C(0.5),1000,0.058,0.007391616873188166
100,80,100,chisq1,toeplitz,0.5,Ours-C(0.7),1000,0.055,0.00720936890441875
100,80,100,chisq1,toeplitz,0.5,Ours-I,1000,0.0,0.0
100,80,100,chisq1,toeplitz,0.5,Wang-NR,1000,0.0,0.0
100,80,100,chisq1,toeplitz,0.9,Li-Chen,1000,0.091,0.009094998625618368
100,80,100,chisq1,toeplitz,0.9,Max-bootstrap,1000,0.043,0.006414904519944158
100,80,100,chisq1,toeplitz,0.9,Ours-C(0.3),1000,0.05,0.006892024376045111
100,80,100,chisq1,toeplitz,0.9,Ours-C(0.5),1000,0.055,0.00720936890441875
100,80,100,chisq1,toeplitz,0.9,Ours-C(0.7),1000,0.058,0.007391616873188166
100,80,100,chisq1,toeplitz,0.9,Ours-I,1000,0.027,0.00512552436341883
100,80,100,chisq1,toeplitz,0.9,Wang-NR,1000,0.022,0.0046385342512479085
200,120,150,chisq1,toeplitz,0.1,Li-Chen,1000,0.1,0.009486832980505138
200,120,150,chisq1,toeplitz,0.1,Max-bootstrap,1000,0.003,0.001729450779872038
200,120,150,chisq1,toeplitz,0.1,Ours-C(0.3),1000,0.07,0.008068457101577725
200,120,150,chisq1,toeplitz,0.1,Ours-C(0.5),1000,0.075,0.008329165624478841
200,120,150,chisq1,toeplitz,0.1,Ours-C(0.7),1000,0.07,0.008068457101577725
200,120,150,chisq1,toeplitz,0.1,Ours-I,1000,0.0,0.0
200,120,150,chisq1,toeplitz,0.1,Wang-NR,1000,0.0,0.0
200,120,150,chisq1,toeplitz,0.5,Li-Chen,1000,0.054,0.007147307185227175
200,120,150,chisq1,toeplitz,0.5,Max-bootstrap,1000,0.012,0.003443254274665175
200,120,150,chisq1,toeplitz,0.5,Ours-C(0.3),1000,0.066,0.007851369307324678
200,120,150,chisq1,toeplitz,0.5,Ours-C(0.5),1000,0.068,0.007960904471226871
200,120,150,chisq1,toeplitz,0.5,Ours-C(0.7),1000,0.066,0.007851369307324678
200,120,150,chisq1,toeplitz,0.5,Ours-I,1000,0.0,0.0
200,120,150,chisq1,toeplitz,0.5,Wang-NR,1000,0.0,0.0
200,120,150,chisq1,toeplitz,0.9,Li-Chen,1000,0.079,0.008529888627643388
200,120,150,chisq1,toeplitz,0.9,Max-bootstrap,1000,0.042,0.0063431853196954605
200,120,150,chisq1,toeplitz,0.9,Ours-C(0.3),1000,0.061,0.0075682891065286355
200,120,150,chisq1,toeplitz,0.9,Ours-C(0.5),1000,0.061,0.0075682891065286355
200,120,150,chisq1,toeplitz,0.9,Ours-C(0.7),1000,0.061,0.0075682891065286355
200,120,150,chisq1,toeplitz,0.9,Ours-I,1000,0.02,0.004427188724235731
200,120,150,chisq1,toeplitz,0.9,Wang-NR,1000,0.027,0.00512552436341883
200,80,100,chisq1,toeplitz,0.1,Li-Chen,1000,0.077,0.00843036179532053
200,80,100,chisq1,toeplitz,0.1,Max-bootstrap,1000,0.003,0.001729450779872038
200,80,100,chisq1,toeplitz,0.1,Ours-C(0.3),1000,0.044,0.006485676526007136
200,80,100,chisq1,toeplitz,0.1,Ours-C(0.5),1000,0.048,0.006759881655768835
200,80,100,chisq1,toeplitz,0.1,Ours-C(0.7),1000,0.048,0.006759881655768835
200,80,100,chisq1,toeplitz,0.1,Ours-I,1000,0.0,0.0
200,80,100,chisq1,toeplitz,0.1,Wang-NR,1000,0.0,0.0
200,80,100,chisq1,toeplitz,0.5,Li-Chen,1000,0.073,0.008226238508577295
200,80,100,chisq1,toeplitz,0.5,Max-bootstrap,1000,0.01,0.003146426544510455
200,80,100,chisq1,toeplitz,0.5,Ours-C(0.3),1000,0.054,0.007147307185227175
200,80,100,chisq1,toeplitz,0.5,Ours-C(0.5),1000,0.063,0.007683163410991596
200,80,100,chisq1,toeplitz,0.5,Ours-C(0.7),1000,0.056,0.007270763371201128
200,80,100,chisq1,toeplitz,0.5,Ours-I,1000,0.0,0.0
200,80,100,chisq1,toeplitz,0.5,Wang-NR,1000,0.0,0.0
200,80,100,chisq1,toeplitz,0.9,Li-Chen,1000,0.061,0.0075682891065286355
200,80,100,chisq1,toeplitz,0.9,Max-bootstrap,1000,0.047,0.006692607862410586
200,80,100,chisq1,toeplitz,0.9,Ours-C(0.3),1000,0.056,0.007270763371201128
200,80,100,chisq1,toeplitz,0.9,Ours-C(0.5),1000,0.057,0.007331507348424334
200,80,100,chisq1,toeplitz,0.9,Ours-C(0.7),1000,0.056,0.007270763371201128
200,80,100,chisq1,toeplitz,0.9,Ours-I,1000,0.011,0.003298332912245215
200,80,100,chisq1,toeplitz,0.9,Wang-NR,1000,0.013,0.003582038525755969
100,120,150,gaussian,equicorrelation,0.1,Li-Chen,1000,0.076,0.008379976133617566
100,120,150,gaussian,equicorrelation,0.1,Max-bootstrap,1000,0.054,0.007147307185227175
100,120,150,gaussian,equicorrelation,0.1,Ours-C(0.3),1000,0.058,0.007391616873188166
100,120,150,gaussian,equicorrelation,0.1,Ours-C(0.5),1000,0.062,0.007626008130076967
100,120,150,gaussian,equicorrelation,0.1,Ours-C(0.7),1000,0.057,0.007331507348424334
100,120,150,gaussian,equicorrelation,0.1,Ours-I,1000,0.011,0.003298332912245215
100,120,150,gaussian,equicorrelation,0.1,Wang-NR,1000,0.03,0.005394441583704471
100,120,150,gaussian,equicorrelation,0.5,Li-Chen,1000,0.108,0.009815090422405696
100,120,150,gaussian,equicorrelation,0.5,Max-bootstrap,1000,0.063,0.007683163410991596
100,120,150,gaussian,equicorrelation,0.5,Ours-C(0.3),1000,0.06,0.007509993342207435
100,120,150,gaussian,equicorrelation,0.5,Ours-C(0.5),1000,0.066,0.007851369307324678
100,120,150,gaussian,equicorrelation,0.5,Ours-C(0.7),1000,0.07,0.008068457101577725
100,120,150,gaussian,equicorrelation,0.5,Ours-I,1000,0.073,0.008226238508577295
100,120,150,gaussian,equicorrelation,0.5,Wang-NR,1000,0.061,0.0075682891065286355
100,120,150,gaussian,equicorrelation,0.9,Li-Chen,1000,0.11,0.009894442884771228
100,120,150,gaussian,equicorrelation,0.9,Max-bootstrap,1000,0.05,0.006892024376045111
100,120,150,gaussian,equicorrelation,0.9,Ours-C(0.3),1000,0.051,0.00695693898205238
100,120,150,gaussian,equicorrelation,0.9,Ours-C(0.5),1000,0.054,0.007147307185227175
100,120,150,gaussian,equicorrelation,0.9,Ours-C(0.7),1000,0.053,0.00708456067798138
100,120,150,gaussian,equicorrelation,0.9,Ours-I,1000,0.049,0.006826346021115542
100,120,150,gaussian,equicorrelation,0.9,Wang-NR,1000,0.046,0.006624499981130651
100,80,100,gaussian,equicorrelation,0.1,Li-Chen,1000,0.097,0.00935900635751467
100,80,100,gaussian,equicorrelation,0.1,Max-bootstrap,1000,0.062,0.007626008130076967
100,80,100,gaussian,equicorrelation,0.1,Ours-C(0.3),1000,0.046,0.006624499981130651
100,80,100,gaussian,equicorrelation,0.1,Ours-C(0.5),1000,0.05,0.006892024376045111
100,80,100,gaussian,equicorrelation,0.1,Ours-C(0.7),1000,0.047,0.006692607862410586
100,80,100,gaussian,equicorrelation,0.1,Ours-I,1000,0.005,0.0022304708023195463
100,80,100,gaussian,equicorrelation,0.1,Wang-NR,1000,0.033,0.005648982209212559
100,80,100,gaussian,equicorrelation,0.5,Li-Chen,1000,0.111,0.00993373041711924
100,80,100,gaussian,equicorrelation,0.5,Max-bootstrap,1000,0.063,0.007683163410991596
100,80,100,gaussian,equicorrelation,0.5,Ours-C(0.3),1000,0.054,0.007147307185227175
100,80,100,gaussian,equicorrelation,0.5,Ours-C(0.5),1000,0.054,0.007147307185227175
100,80,100,gaussian,equicorrelation,0.5,Ours-C(0.7),1000,0.052,0.007021111023192838
100,80,100,gaussian,equicorrelation,0.5,Ours-I,1000,0.05,0.006892024376045111
100,80,100,gaussian,equicorrelation,0.5,Wang-NR,1000,0.047,0.006692607862410586
100,80,100,gaussian,equicorrelation,0.9,Li-Chen,1000,0.102,0.009570579919733181
100,80,100,gaussian,equicorrelation,0.9,Max-bootstrap,1000,0.049,0.006826346021115542
100,80,100,gaussian,equicorrelation,0.9,Ours-C(0.3),1000,0.044,0.006485676526007136
100,80,100,gaussian,equicorrelation,0.9,Ours-C(0.5),1000,0.053,0.00708456067798138
100,80,100,gaussian,equicorrelation,0.9,Ours-C(0.7),1000,0.049,0.006826346021115542
100,80,100,gaussian,equicorrelation,0.9,Ours-I,1000,0.054,0.007147307185227175
100,80,100,gaussian,equicorrelation,0.9,Wang-NR,1000,0.048,0.006759881655768835
200,120,150,gaussian,equicorrelation,0.1,Li-Chen,1000,0.089,0.00900438781928011
200,120,150,gaussian,equicorrelation,0.1,Max-bootstrap,1000,0.057,0.007331507348424334
200,120,150,gaussian,equicorrelation,0.1,Ours-C(0.3),1000,0.049,0.006826346021115542
200,120,150,gaussian,equicorrelation,0.1,Ours-C(0.5),1000,0.053,0.00708456067798138
200,120,150,gaussian,equicorrelation,0.1,Ours-C(0.7),1000,0.053,0.00708456067798138
200,120,150,gaussian,equicorrelation,0.1,Ours-I,1000,0.005,0.0022304708023195463
200,120,150,gaussian,equicorrelation,0.1,Wang-NR,1000,0.032,0.005565608681896348
200,120,150,gaussian,equicorrelation,0.5,Li-Chen,1000,0.101,0.009528850927577786
200,120,150,gaussian,equicorrelation,0.5,Max-bootstrap,1000,0.064,0.007739767438366608
200,120,150,gaussian,equicorrelation,0.5,Ours-C(0.3),1000,0.054,0.007147307185227175
200,120,150,gaussian,equicorrelation,0.5,Ours-C(0.5),1000,0.053,0.00708456067798138
200,120,150,gaussian,equicorrelation,0.5,Ours-C(0.7),1000,0.058,0.007391616873188166
200,120,150,gaussian,equicorrelation,0.5,Ours-I,1000,0.051,0.00695693898205238
200,120,150,gaussian,equicorrelation,0.5,Wang-NR,1000,0.048,0.006759881655768835
200,120,150,gaussian,equicorrelation,0.9,Li-Chen,1000,0.117,0.010164201887015036
200,120,150,gaussian,equicorrelation,0.9,Max-bootstrap,1000,0.055,0.00720936890441875
200,120,150,gaussian,equicorrelation,0.9,Ours-C(0.3),1000,0.058,0.007391616873188166
200,120,150,gaussian,equicorrelation,0.9,Ours-C(0.5),1000,0.06,0.007509993342207435
200,120,150,gaussian,equicorrelation,0.9,Ours-C(0.7),1000,0.056,0.007270763371201128
200,120,150,gaussian,equicorrelation,0.9,Ours-I,1000,0.061,0.0075682891065286355
200,120,150,gaussian,equicorrelation,0.9,Wang-NR,1000,0.056,0.007270763371201128
200,80,100,gaussian,equicorrelation,0.1,Li-Chen,1000,0.089,0.00900438781928011
200,80,100,gaussian,equicorrelation,0.1,Max-bootstrap,1000,0.053,0.00708456067798138
200,80,100,gaussian,equicorrelation,0.1,Ours-C(0.3),1000,0.059,0.007451107300260815
200,80,100,gaussian,equicorrelation,0.1,Ours-C(0.5),1000,0.06,0.007509993342207435
200,80,100,gaussian,equicorrelation,0.1,Ours-C(0.7),1000,0.06,0.007509993342207435
200,80,100,gaussian,equicorrelation,0.1,Ours-I,1000,0.004,0.001995995991979944
200,80,100,gaussian,equicorrelation,0.1,Wang-NR,1000,0.028,0.005216895628628198
200,80,100,gaussian,equicorrelation,0.5,Li-Chen,1000,0.101,0.009528850927577786
200,80,100,gaussian,equicorrelation,0.5,Max-bootstrap,1000,0.059,0.007451107300260815
200,80,100,gaussian,equicorrelation,0.5,Ours-C(0.3),1000,0.053,0.00708456067798138
200,80,100,gaussian,equicorrelation,0.5,Ours-C(0.5),1000,0.05,0.006892024376045111
200,80,100,gaussian,equicorrelation,0.5,Ours-C(0.7),1000,0.053,0.00708456067798138
200,80,100,gaussian,equicorrelation,0.5,Ours-I,1000,0.053,0.00708456067798138
200,80,100,gaussian,equicorrelation,0.5,Wang-NR,1000,0.05,0.006892024376045111
200,80,100,gaussian,equicorrelation,0.9,Li-Chen,1000,0.11,0.009894442884771228
200,80,100,gaussian,equicorrelation,0.9,Max-bootstrap,1000,0.063,0.007683163410991596
200,80,100,gaussian,equicorrelation,0.9,Ours-C(0.3),1000,0.057,0.007331507348424334
